,Marque / Modele,Bonus / Malus,Rejets CO2 g/km,Cout enerie
2,AUDI E-TRON SPORTBACK 55 (408ch) quattro,-6 000€ 1,0,319 €
3,AUDI E-TRON SPORTBACK 50 (313ch) quattro,-6 000€ 1,0,356 €
4,AUDI E-TRON 55 (408ch) quattro,-6 000€ 1,0,357 €
5,AUDI E-TRON 50 (313ch) quattro,-6 000€ 1,0,356 €
6,BMW i3 120 Ah,-6 000€ 1,0,204 €
7,BMW i3s 120 Ah,-6 000€ 1,0,204 €
8,CITROEN BERLINGO,-6 000€ 1,0,203 €
9,CITROEN C-ZERO,-6 000€ 1,0,491 €
10,DS DS3 CROSSBACK E-Tense (136ch),-6 000€ 1,0,251 €
11,HYUNDAI KONA electric 64 kWh,-6 000€ 1,0,205 €
12,HYUNDAI KONA electric 39 kWh,-6 000€ 1,0,205 €
13,JAGUAR I-PACE EV400 (400 CEE) - Automatique - 4 roues motrices,-6 000€ 1,0,271 €
14,"KIA e-NIRO Moteur Ã©lectrique synchrone Ã  aimant permanent, 150kW (204ch)",-6 000€ 1,0,212 €
15,"KIA e-NIRO Moteur Ã©lectrique synchrone Ã  aimant permanent, 100kW (136ch)",-6 000€ 1,0,203 €
16,KIA SOUL Moteur Ã©lectrique 150 kW (204ch),-6 000€ 1,0,214 €
17,KIA SOUL Moteur Ã©lectrique 100kW (136ch),-6 000€ 1,0,214 €
18,MERCEDES EQC 400 4MATIC,-6 000€ 1,0,291 €
19,MERCEDES VITO Tourer long eVITO (85kW) Traction 4x2 PTAC 3200kg,-6 000€ 1,0,411 €
20,MERCEDES VITO Tourer extra-long eVITO (85kW) Traction 4x2 PTAC 3200kg,-6 000€ 1,0,411 €
21,MINI MINI Cooper SE Hatch 3P (F56),-6 000€ 1,0,199 €
23,NISSAN Nouvelle NISSAN LEAF,-6 000€ 1,0,155 €
24,NISSAN Nouvelle NISSAN LEAF,-6 000€ 1,0,177 €
25,PEUGEOT 208 E- Tense (136 ch),-6 000€ 1,0,221 €
26,PEUGEOT ION electrique (67ch),-6 000€ 1,0,241 €
27,PEUGEOT PARTNER,-6 000€ 1,0,203 €
28,RENAULT ZOE (43Kw),-6 000€ 1,0,206 €
29,RENAULT ZOE (51Kw),-6 000€ 1,0,206 €
30,RENAULT ZOE (53Kw),-6 000€ 1,0,206 €
31,SKODA CITIGOe iV,-6 000€ 1,0,210 €
32,SMART EQ FORFOUR 22 kW Mode 3,-6 000€ 1,0,175 €
33,SMART EQ FORFOUR,-6 000€ 1,0,175 €
34,SMART EQ FORFOUR 22 kW Mode 2,-6 000€ 1,0,213 €
35,SMART EQ FORFOUR 7 kW Mode 2,-6 000€ 1,0,213 €
36,SMART EQ FORTWO COUPE,-6 000€ 1,0,175 €
37,SMART EQ FORTWO COUPE 22 kW Mode 2,-6 000€ 1,0,201 €
38,SMART EQ FORTWO COUPE 7 kW Mode 2,-6 000€ 1,0,201 €
39,SMART EQ FORTWO CABRIO 22 kW Mode 3,-6 000€ 1,0,175 €
40,SMART EQ FORTWO CABRIO,-6 000€ 1,0,175 €
41,SMART EQ FORTWO COUPE 22 kW Mode 3,-6 000€ 1,0,201 €
42,SMART EQ FORTWO CABRIO 7 kW Mode 2,-6 000€ 1,0,201 €
44,TESLA MODEL 3 (100Kw),-6 000€ 1,0,235 €
45,TESLA MODEL 3 (153Kw),-6 000€ 1,0,202 €
46,TESLA MODEL 3 (155Kw),-6 000€ 1,0,202 €
47,TESLA MODEL S (158Kw),-6 000€ 1,0,247 €
48,TESLA MODEL S (169Kw),-6 000€ 1,0,247 €
49,TESLA MODEL S (177Kw),-6 000€ 1,0,247 €
50,TESLA MODEL S (180Kw),-6 000€ 1,0,247 €
51,TESLA MODEL X (177Kw),-6 000€ 1,0,293 €
52,TESLA MODEL X (180Kw),-6 000€ 1,0,293 €
53,VOLKSWAGEN e-Golf 5P 136ch ess ar Mbr Fi A,-6 000€ 1,0,209 €
54,VOLKSWAGEN e-Golf 5P 136ch ess ar Spl Fi A,-6 000€ 1,0,209 €
55,VOLKSWAGEN e-up! Ã©lectrique (82ch) 14'' std,-6 000€ 1,0,185 €
56,VOLKSWAGEN e-up! Ã©lectrique (82ch) 15'' std,-6 000€ 1,0,185 €
57,HYUNDAI IONIQ plug-in,-,26,43 €
58,KIA NIRO 1.6 essence GDi (105ch) ISG / Electrique (60.5ch) DCT6 SystÃ¨me hybride rechargeable (141ch),-,29,47 €
59,MERCEDES A 250 e,-,30,74 €
60,MERCEDES A 250 e,-,30,74 €
61,MERCEDES B 250 e,-,30,62 €
62,PEUGEOT 508 2.0 PureTech (180ch) EAT8,-,31,67 €
63,PEUGEOT 508 2.0 PureTech (180ch) EAT8,-,31,67 €
65,SKODA SUPERB Berline PHEV pneu B famille A,-,31,85 €
66,SKODA SUPERB Berline PHEV pneu B famille B,-,31,85 €
67,SKODA SUPERB Berline PHEV pneu C famille A,-,31,85 €
68,SKODA SUPERB Berline PHEV pneu C famille B,-,31,85 €
69,SKODA SUPERB Combi PHEV pneu B famille A,-,31,85 €
70,SKODA SUPERB Combi PHEV pneu B famille B,-,31,85 €
71,SKODA SUPERB Combi PHEV pneu C famille A,-,31,85 €
72,SKODA SUPERB Combi PHEV pneu C famille B,-,31,85 €
73,"VOLKSWAGEN Passat 1.4 TSI + Hyb. Rech. (218ch) DSG6 bat dans coffre Start/Stop 17"" rlt fbl res Fi A",-,31,56 €
74,"VOLKSWAGEN Passat 1.4 TSI + Hyb. Rech. (218ch) DSG6 bat dans coffre Start/Stop 17"" rlt fbl res Fi B",-,31,56 €
75,"VOLKSWAGEN Passat 1.4 TSI + Hyb. Rech. (218ch) DSG6 bat dans coffre Start/Stop 17""/18""/19"" standard Fi A",-,31,56 €
76,"VOLKSWAGEN Passat 1.4 TSI + Hyb. Rech. (218ch) DSG6 bat dans coffre Start/Stop 17""/18""/19"" standard Fi B",-,31,56 €
77,"VOLKSWAGEN Passat SW 1.4 TSI + Hyb. Rech. (218ch) DSG6 bat dans coffre Start/Stop 17"" rlt fbl res Fi A",-,31,56 €
78,"VOLKSWAGEN Passat SW 1.4 TSI + Hyb. Rech. (218ch) DSG6 bat dans coffre Start/Stop 17"" rlt fbl res Fi B",-,31,56 €
79,"VOLKSWAGEN Passat SW 1.4 TSI + Hyb. Rech. (218ch) DSG6 bat dans coffre Start/Stop 17""/18""/19"" standard Fi A",-,31,56 €
80,"VOLKSWAGEN Passat SW 1.4 TSI + Hyb. Rech. (218ch) DSG6 bat dans coffre Start/Stop 17""/18""/19"" standard Fi B",-,31,56 €
81,TOYOTA PRIUS Hybride Rechargeable (122h) 17'' : Solar,-,32,43 €
82,DS DS7 CROSSBACK E-TENSE (200ch) EAT8,-,33,67 €
83,KIA OPTIMA SW 2.0 essence GDi (156ch) / Electrique (67ch) BVA6 SystÃ¨me hybride rechargeable (205ch),-,33,56 €
84,PEUGEOT Nouvelle 3008 2.0 BlueHDi (200ch) EAT8 S&S,-,33,66 €
86,MERCEDES C 300 e,-,35,75 €
87,MERCEDES C 300 e,-,35,75 €
88,BMW 330e Berline,-,36,60 €
89,BMW 530e Berline,-,36,54 €
90,BMW 530e Berline,-,36,54 €
91,MERCEDES E 300 e,-,37,78 €
92,BMW X5 xDrive45e,-,38,83 €
93,BMW X5 xDrive45e,-,38,83 €
94,MERCEDES C 300 de,-,38,75 €
95,MERCEDES C 300 de,-,38,75 €
96,MERCEDES E 200 d,-,38,78 €
97,MERCEDES E 300 de,-,38,78 €
98,MERCEDES C 300 e,-,39,75 €
99,VOLVO S60 T8 TWIN ENGINE (303 + 87 ch) Geartronic 8,-,39,75 €
100,VOLVO V60 T8 Twin Engine Geartronic 8,-,39,64 €
101,AUDI A3 40 e-tron (204ch) S tronic 6,-,40,54 €
102,AUDI A3 40 e-tron (204ch) S tronic 6,-,40,54 €
103,MITSUBISHI OUTLANDER PHEV TWIN ENGINE 4WD INVITE & BUSINESS my20,-,40,98 €
104,MITSUBISHI OUTLANDER PHEV INTENSE & INSTYLE MY19&BUSINES MY19 my20,-,40,98 €
105,VOLKSWAGEN Golf 5P GTE Hyb. Recharg. 204ch DSG6 optDCC ess ar Mbr S/S+rec Fi A,-,40,54 €
107,VOLKSWAGEN Golf 5P GTE Hyb. Recharg. 204ch DSG6 ess ar Mbr S/S+rec Fi A,-,40,54 €
108,VOLVO S90 T8 Twin Engine (390ch) Geartronic 8,-,40,67 €
109,VOLVO V90 T8 Twin Engine (390ch) Geartronic 8,-,40,78 €
110,VOLVO V90 T8 Twin Engine (390ch) Geartronic 8,-,40,78 €
111,VOLVO XC40 T5 TWIN ENGINE (262ch) DCT 7,-,41,75 €
112,AUDI A7 Sportback 55 TFSI e (367ch) S tronic 7,-,42,105 €
113,BMW 225xe Active Tourer,-,42,60 €
114,BMW i8 CoupÃ©,-,42,66 €
115,BMW i8 Roadster,-,42,68 €
116,VOLVO XC60 T8 Twin Engine (390ch) Geartronic 8,-,42,67 €
117,VOLVO XC60 T8 Twin Engine (390ch) Geartronic 8,-,42,67 €
118,MINI MINI Cooper SE Countryman (F60),-,43,53 €
119,AUDI Q5 50 TFSI e (299ch) quattro S tronic 7,-,45,105 €
120,AUDI Q5 55 TFSI e (367ch) quattro,-,45,105 €
121,BMW X5 xDrive45e,-,45,83 €
122,BMW X5 xDrive45e,-,45,83 €
123,MERCEDES E 300 e,-,46,78 €
124,BMW 530e Berline,-,47,54 €
125,BMW 530e xDrive Berline,-,47,54 €
126,BMW 530e xDrive Berline,-,47,54 €
128,MERCEDES E 300 e,-,47,78 €
129,BMW 745e Berline,-,48,62 €
130,VOLVO S60 T8 TWIN ENGINE Geartronic 8 Polestar Engineered,-,48,75 €
131,VOLVO XC90 T8 Twin Engine (390ch) Geartronic 8,-,48,77 €
132,VOLVO XC90 T8 Twin Engine (390ch) Geartronic 8,-,48,77 €
133,AUDI Q5 50 TFSI e (299ch) quattro S tronic 7,-,49,105 €
134,BMW 745Le,-,50,62 €
135,MERCEDES GLC 300 e 4MATIC,-,50,98 €
136,MERCEDES GLC 300 e 4MATIC,-,50,98 €
137,BMW 225xe Active Tourer,-,52,80 €
138,BMW 745Le xDrive,-,55,62 €
139,MERCEDES S 560 e,-,57,84 €
140,PORSCHE PANAMERA 4 E-HYBRID,-,58,75 €
141,PORSCHE PANAMERA 4 E-HYBRID,-,58,75 €
142,PORSCHE PANAMERA 4 E-HYBRID,-,58,84 €
143,PORSCHE PANAMERA 4 E-HYBRID,-,58,84 €
144,LAND ROVER RANGE ROVER LWB P400e (404ch) 4PL,-,69,78 €
145,LAND ROVER RANGE ROVER LWB P400e (404ch) 5PL,-,69,78 €
146,LAND ROVER RANGE ROVER SWB P400e (404ch) 4PL,-,69,78 €
147,LAND ROVER RANGE ROVER SWB P400e (404ch) 5PL,-,69,78 €
149,LAND ROVER RANGE ROVER SPORT P400e (404CH),-,69,78 €
150,PORSCHE CAYENNE E-HYBRID,-,70,98 €
151,PORSCHE CAYENNE E-HYBRID,-,70,98 €
152,PORSCHE PANAMERA TURBO S E-HYBRID,-,72,84 €
153,PORSCHE PANAMERA TURBO S E-HYBRID,-,72,84 €
154,PORSCHE PANAMERA TURBO S E-HYBRID,-,72,84 €
155,PORSCHE PANAMERA TURBO S E-HYBRID,-,72,84 €
156,PORSCHE CAYENNE E-HYBRID,-,74,98 €
157,PORSCHE CAYENNE E-HYBRID,-,74,98 €
158,BENTLEY BENTAYGA HYBRID,-,84,102 €
159,BENTLEY BENTAYGA HYBRID,-,84,102 €
160,PORSCHE CAYENNE TURBO S-PHEV,-,85,105 €
161,PORSCHE CAYENNE TURBO S-PHEV,-,85,105 €
162,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+6 810€,178,715 €
163,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+6 810€,178,715 €
164,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+6 810€,178,715 €
165,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg court Toit plat,+6 810€,178,715 €
166,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit plat,+6 810€,178,715 €
167,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg court Toit plat,+6 810€,178,715 €
168,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit plat,+6 810€,178,715 €
170,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+7 073€,179,715 €
171,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+7 073€,179,715 €
172,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+7 073€,179,715 €
173,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+7 073€,179,715 €
174,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg court Toit plat,+7 073€,179,715 €
175,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg normal Toit plat,+7 073€,179,715 €
176,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg normal Toit plat,+7 073€,179,715 €
177,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg court Toit plat,+7 073€,179,715 €
178,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit plat,+7 073€,179,715 €
179,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit plat,+7 073€,179,715 €
180,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+7 073€,179,715 €
181,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+7 073€,179,715 €
182,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+7 073€,179,715 €
183,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+7 340€,180,725 €
184,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+7 340€,180,725 €
185,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+7 340€,180,725 €
186,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+7 340€,180,725 €
187,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+7 340€,180,725 €
188,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg court Toit plat,+7 340€,180,725 €
189,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit plat,+7 340€,180,725 €
191,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg court Toit plat,+7 340€,180,725 €
192,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit plat,+7 340€,180,725 €
193,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg court Toit plat,+7 340€,180,725 €
194,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit plat,+7 340€,180,725 €
195,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg court Toit plat,+7 340€,180,725 €
196,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit plat,+7 340€,180,725 €
197,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+7 340€,180,725 €
198,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+7 613€,181,725 €
199,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+7 613€,181,725 €
200,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+7 613€,181,725 €
201,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg court Toit plat,+7 613€,181,725 €
202,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit plat,+7 613€,181,725 €
203,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg court Toit plat,+7 613€,181,725 €
204,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit plat,+7 613€,181,725 €
205,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+7 890€,182,725 €
206,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+7 890€,182,725 €
207,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+7 890€,182,725 €
208,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+7 890€,182,725 €
209,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+7 890€,182,725 €
210,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+7 890€,182,725 €
212,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+7 890€,182,725 €
213,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+7 890€,182,725 €
214,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+7 890€,182,725 €
215,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg court Toit plat,+7 890€,182,725 €
216,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg normal Toit plat,+7 890€,182,725 €
217,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg normal Toit plat,+7 890€,182,725 €
218,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg court Toit plat,+7 890€,182,725 €
219,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg court Toit plat,+7 890€,182,725 €
220,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit plat,+7 890€,182,725 €
221,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg court Toit plat,+7 890€,182,725 €
222,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit plat,+7 890€,182,725 €
223,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit plat,+7 890€,182,725 €
224,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit plat,+7 890€,182,725 €
225,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg court Toit plat,+7 890€,182,725 €
226,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit plat,+7 890€,182,725 €
227,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg court Toit plat,+7 890€,182,725 €
228,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit plat,+7 890€,182,725 €
229,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+7 890€,182,725 €
230,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+7 890€,182,725 €
231,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+7 890€,182,725 €
233,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+7 890€,182,725 €
234,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 173€,183,736 €
235,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 173€,183,736 €
236,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+8 173€,183,736 €
237,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 173€,183,736 €
238,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 173€,183,736 €
239,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg court Toit plat,+8 173€,183,736 €
240,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit plat,+8 173€,183,736 €
241,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg court Toit plat,+8 173€,183,736 €
242,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit plat,+8 173€,183,736 €
243,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg court Toit plat,+8 173€,183,736 €
244,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit plat,+8 173€,183,736 €
245,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg court Toit plat,+8 173€,183,736 €
246,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit plat,+8 173€,183,736 €
247,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+8 173€,183,736 €
248,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 460€,184,736 €
249,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 460€,184,736 €
250,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 460€,184,736 €
251,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 460€,184,736 €
252,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg court Toit plat,+8 460€,184,736 €
254,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg normal Toit plat,+8 460€,184,736 €
255,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg normal Toit plat,+8 460€,184,736 €
256,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg court Toit plat,+8 460€,184,736 €
257,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit plat,+8 460€,184,736 €
258,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg court Toit plat,+8 460€,184,736 €
259,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit plat,+8 460€,184,736 €
260,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg court Toit plat,+8 460€,184,736 €
261,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit plat,+8 460€,184,736 €
262,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+8 460€,184,736 €
263,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 460€,184,736 €
264,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 460€,184,736 €
265,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+8 460€,184,736 €
