,Marque / Modele,Bonus / Malus,Rejets CO2 g/km,Cout enerie
266,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+8 753€,185,736 €
267,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,185,736 €
268,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,185,736 €
269,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+8 753€,185,736 €
270,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,185,736 €
271,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,185,736 €
272,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg court Toit plat,+8 753€,185,736 €
273,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit plat,+8 753€,185,736 €
275,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg court Toit plat,+8 753€,185,736 €
276,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,185,736 €
277,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit plat,+8 753€,185,736 €
278,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg court Toit plat,+8 753€,185,736 €
279,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg court Toit plat,+8 753€,185,736 €
280,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,185,736 €
281,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,186,746 €
282,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,186,746 €
283,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+8 753€,186,746 €
284,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,186,746 €
285,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,186,746 €
286,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit plat,+8 753€,186,746 €
287,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg court Toit plat,+8 753€,186,746 €
288,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg court Toit plat,+8 753€,186,746 €
289,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,186,746 €
290,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit plat,+8 753€,186,746 €
291,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg court Toit plat,+8 753€,186,746 €
292,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg court Toit plat,+8 753€,186,746 €
293,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,186,746 €
294,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+8 753€,186,746 €
296,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,187,746 €
297,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,187,746 €
298,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,187,746 €
299,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,187,746 €
300,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg court Toit plat,+8 753€,187,746 €
301,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg normal Toit plat,+8 753€,187,746 €
302,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,187,746 €
303,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg court Toit plat,+8 753€,187,746 €
304,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit plat,+8 753€,187,746 €
305,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg court Toit plat,+8 753€,187,746 €
306,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,187,746 €
307,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg court Toit plat,+8 753€,187,746 €
308,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,187,746 €
309,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+8 753€,187,746 €
310,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,187,746 €
311,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,187,746 €
312,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+8 753€,187,746 €
313,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,189,757 €
314,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,189,757 €
315,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+8 753€,189,757 €
317,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,189,757 €
318,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,189,757 €
319,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit plat,+8 753€,189,757 €
320,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg court Toit plat,+8 753€,189,757 €
321,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg court Toit plat,+8 753€,189,757 €
322,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,189,757 €
323,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit plat,+8 753€,189,757 €
324,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg court Toit plat,+8 753€,189,757 €
325,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg court Toit plat,+8 753€,189,757 €
326,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,189,757 €
327,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+8 753€,189,757 €
328,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,197,789 €
329,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,197,789 €
330,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+8 753€,197,789 €
331,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,197,789 €
332,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,197,789 €
333,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,197,789 €
334,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,197,789 €
335,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,197,789 €
336,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,197,789 €
338,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg court Toit plat,+8 753€,197,789 €
339,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg normal Toit plat,+8 753€,197,789 €
340,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,197,789 €
341,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg court Toit plat,+8 753€,197,789 €
342,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg court Toit plat,+8 753€,197,789 €
343,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit plat,+8 753€,197,789 €
344,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg court Toit plat,+8 753€,197,789 €
345,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,197,789 €
346,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit plat,+8 753€,197,789 €
347,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg court Toit plat,+8 753€,197,789 €
348,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,197,789 €
349,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg court Toit plat,+8 753€,197,789 €
350,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+8 753€,197,789 €
351,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,197,789 €
352,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,197,789 €
353,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+8 753€,197,789 €
354,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,199,799 €
355,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,199,799 €
356,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,199,799 €
357,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,199,799 €
359,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,200,799 €
360,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,200,799 €
361,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+8 753€,200,799 €
362,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,200,799 €
363,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,200,799 €
364,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg court Toit plat,+8 753€,200,799 €
365,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg normal Toit plat,+8 753€,200,799 €
366,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,200,799 €
367,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg court Toit plat,+8 753€,200,799 €
368,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg court Toit plat,+8 753€,200,799 €
369,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit plat,+8 753€,200,799 €
370,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg court Toit plat,+8 753€,200,799 €
371,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,200,799 €
372,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit plat,+8 753€,200,799 €
373,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg court Toit plat,+8 753€,200,799 €
374,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,200,799 €
375,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg court Toit plat,+8 753€,200,799 €
376,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+8 753€,200,799 €
377,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,200,799 €
378,MERCEDES SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,200,799 €
380,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit surÃ©levÃ©,+8 753€,200,799 €
381,NISSAN NV400 COMBI 3T3 8PL 2.3 dCi (110ch) BVM6,+8 753€,200,810 €
382,NISSAN NV400 COMBI 3T3 9PL 2.3 dCi (110ch) BVM6,+8 753€,200,810 €
383,NISSAN NV400 COMBI 3T5 8PL 2.3 dCi (110ch) BVM6,+8 753€,200,810 €
384,NISSAN NV400 COMBI 3T5 9PL 2.3 dCi (110ch) BVM6,+8 753€,200,810 €
385,NISSAN NV400 COMBI 3T3 8PL 2.3 dCi (170ch) BVM6,+8 753€,200,810 €
386,NISSAN NV400 COMBI 3T3 9PL 2.3 dCi (170ch) BVM6,+8 753€,200,810 €
387,NISSAN NV400 COMBI 3T5 8PL 2.3 dCi (170ch) BVM6,+8 753€,200,810 €
388,NISSAN NV400 COMBI 3T5 9PL 2.3 dCi (170ch) BVM6,+8 753€,200,810 €
389,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,207,831 €
390,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,207,831 €
391,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,207,831 €
392,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,207,831 €
393,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,210,841 €
394,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,210,841 €
395,MERCEDES SPRINTER Combi 314 CDI (143ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,210,841 €
396,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,210,841 €
397,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,214,862 €
398,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,214,862 €
399,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,214,862 €
401,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,216,862 €
402,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,216,862 €
403,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,216,862 €
404,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,217,873 €
405,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,217,873 €
406,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,217,873 €
407,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,218,873 €
408,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,218,873 €
409,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,218,873 €
410,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,219,873 €
411,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,219,873 €
412,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,219,873 €
413,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,219,873 €
414,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,219,873 €
415,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,221,883 €
416,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,221,883 €
417,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,221,883 €
418,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,222,883 €
419,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,222,883 €
420,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,229,915 €
422,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,229,915 €
423,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,232,925 €
424,MERCEDES SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,232,925 €
425,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,237,946 €
426,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,237,946 €
427,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,237,946 €
428,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,240,957 €
429,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,240,957 €
430,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,240,957 €
431,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,240,957 €
432,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,240,957 €
433,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,243,978 €
434,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,243,978 €
435,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,243,967 €
436,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,243,967 €
437,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,243,978 €
438,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,245,978 €
439,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,245,978 €
440,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,246,988 €
441,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,246,988 €
443,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,246,988 €
444,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,249,988 €
445,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,249,988 €
446,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,250,999 €
447,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,250,999 €
448,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,252,1 009 €
449,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,252,1 009 €
450,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,252,1 009 €
451,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,252,1 009 €
452,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,252,1 009 €
453,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,255,1 020 €
454,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg long Toit surÃ©levÃ©,+8 753€,255,1 020 €
455,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit plat,+8 753€,255,1 020 €
456,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,260,1 041 €
457,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,260,1 041 €
458,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x4 PTAC 3500 kg normal Toit plat,+8 753€,262,1 051 €
459,MERCEDES SPRINTER Combi 319 CDI (190ch) 4x4 PTAC 3500 kg normal Toit surÃ©levÃ©,+8 753€,262,1 051 €
